mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,spectral_contrast,zero_crossing_rate,rms_energy,label
-285.3931,-44.48313,-41.34935,-51.37689,-53.625797,-31.997978,-38.89388,-25.70419,-24.550844,-14.931318,-14.306674,-0.037020028,2.4179173,5393.796233124318,2967.649660085977,8861.585998535156,0.28657663,18.67042656010603,0.463531494140625,0.020253886,Clap
-139.76088,3.5132773,-68.09323,-57.8061,-58.805904,-11.981592,-16.219423,-9.740734,-16.339947,-6.8342953,-9.873546,-2.7982402,-5.335511,3627.644352192289,2703.8453866857676,6980.0706129807695,0.121928856,17.544767237696682,0.19865534855769232,0.0957182,Clap
-95.54337,60.73877,-66.82516,-16.495714,-16.247734,8.958825,-17.199362,-2.74383,-7.819858,1.6668749,-5.8570433,1.5060563,-3.4791627,2887.3568095598184,2282.2550267113843,5483.19091796875,0.076861165,19.740496514288026,0.1747504340277778,0.11094155,Clap
-200.08725,88.51994,-67.00803,-23.193727,-37.749863,-17.535034,-22.66656,-9.769761,-10.294259,-2.7572188,-7.027345,-1.3479055,-3.0664382,2198.760813695381,1999.772298746789,4004.09912109375,0.028657818,18.03595034184721,0.109619140625,0.070470884,Clap
-151.20047,34.075764,-60.4511,-17.744234,-25.489828,-2.2459579,-16.32806,-3.6874268,-4.002266,1.431589,-10.066482,-4.1016107,-6.24751,3365.61616727363,2525.2665601648664,6373.828125,0.1296147,18.470076424678222,0.1912109375,0.06886266,Clap
-141.45825,51.865845,-41.21648,-5.736449,-20.212664,1.4293542,-10.917943,-0.7748854,-7.0119886,-2.0203156,-7.5271077,-1.3866773,-5.2307887,3198.74972637279,2528.6897882545595,6144.793146306818,0.12560557,17.568615444021596,0.18656782670454544,0.098749444,Clap
-138.1658,52.519268,-38.86561,-0.6007393,-14.48924,-4.159402,-7.523406,3.348667,4.2754307,-4.068616,-2.8069463,-6.7729654,-10.054701,2746.454639640149,2327.375927088536,5092.6025390625,0.080489144,13.664328867112005,0.05126953125,0.15241449,Clap
-104.73808,47.693363,-45.89168,-7.2709985,-17.10182,5.93874,-8.565733,2.1739783,4.6604447,4.166968,-5.8029604,1.2017434,5.286313,3237.1965613209745,2575.977130755701,6209.09912109375,0.12903908,16.920679816636913,0.1732421875,0.116526686,Clap
-26.524277,56.65189,-68.09649,-15.279572,-25.275843,21.56281,-8.848454,-0.89785147,-8.588771,-1.8073015,-4.953013,1.0891606,2.8802748,2943.611495575326,2278.9334888537846,5605.810546875,0.07650448,17.351874264044937,0.17036946614583334,0.17611392,Clap
-121.25666,55.140976,-90.66027,-46.935158,-48.758583,4.6996145,-20.94505,-7.1998577,-15.543322,7.842095,-9.700535,2.0435383,-2.9341266,2556.6029429509717,2109.1108295402314,4949.0478515625,0.035062093,18.98454815235516,0.14065755208333333,0.10369846,Clap
